sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
龍潭,桃園市,56,細懸浮微粒,普通,1,0.22,40,15,30,18,5,6.1,0.9,2.5,248,2025-04-21 13:00,,0.2,14.2,23,0,121.21645772,24.86400048,21
平鎮,桃園市,59,細懸浮微粒,普通,0.5,0.24,46,16,38,23,7,9.8,1.9,1.7,300,2025-04-21 13:00,,0.3,15.4,28,0,121.203986,24.952786,20
觀音,桃園市,69,細懸浮微粒,普通,,,38,13,27,20,,,,2.7,291,2025-04-21 13:00,,0.3,19,23,0,121.08283092,25.03556747,19
大園,桃園市,62,細懸浮微粒,普通,1,0.28,46,18,38,21,9,10.7,1.1,3.6,289,2025-04-21 13:00,,0.2,16.4,27,0,121.20251473,25.06100357,18
桃園,桃園市,61,細懸浮微粒,普通,0,0.26,49,17,35,20,7,8.3,1.1,1.8,288,2025-04-21 13:00,,0.3,16.1,24,1,121.30500531,24.9947107,17
大同,臺北市,92,細懸浮微粒,普通,1.3,1.02,38,19,41,29,27,48.6,20.7,-,-,2025-04-21 13:00,,1.3,27.5,39,1,121.51342074,25.06331455,16
松山,臺北市,76,細懸浮微粒,普通,0.6,0.35,67,35,29,24,11,13.3,2.2,1.8,234,2025-04-21 13:00,,0.4,21.6,28,1,121.578611,25.05,15
古亭,臺北市,62,細懸浮微粒,普通,0.6,0.26,56,30,27,21,7,8.8,1,1.7,298,2025-04-21 13:00,,0.3,16.7,23,0,121.529556,25.020608,14
萬華,臺北市,65,細懸浮微粒,普通,,,,24,33,20,,,,1.7,260,2025-04-21 13:00,,0.4,17.7,26,0,121.507972,25.046503,13
中山,臺北市,75,細懸浮微粒,普通,0.8,,54,32,38,22,,,,2.4,152,2025-04-21 13:00,,0.5,21.1,34,0,121.526528,25.062361,12
士林,臺北市,67,細懸浮微粒,普通,0.6,,53,27,31,19,,,,2.2,345,2025-04-21 13:00,,0.3,18.4,29,0,121.51666356,25.10334003,11
淡水,新北市,76,細懸浮微粒,普通,1,0.28,60,23,37,23,12,13.8,1.4,2,300,2025-04-21 13:00,,0.5,21.6,36,0,121.449239,25.1645,10
林口,新北市,66,細懸浮微粒,普通,1.1,0.26,51,24,32,26,8,11.4,3.1,2.6,338,2025-04-21 13:00,,0.3,17.8,25,0,121.36548982,25.07798949,9
菜寮,新北市,79,細懸浮微粒,普通,0.5,0.31,53,29,32,24,7,9.8,1.8,2.7,278,2025-04-21 13:00,,0.5,22.9,30,0,121.481028,25.06895,8
新莊,新北市,59,細懸浮微粒,普通,1,0.21,52,24,28,20,5,6.2,0.7,2.8,262,2025-04-21 13:00,,0.3,15.6,22,0,121.4325,25.037972,7
板橋,新北市,53,細懸浮微粒,普通,0.9,0.27,52,22,30,16,7,9.3,1.4,3,303,2025-04-21 13:00,,0.4,13.3,22,0,121.458667,25.012972,6
土城,新北市,63,細懸浮微粒,普通,0.7,0.25,51,17,35,24,6,8.4,1.7,1.7,231,2025-04-21 13:00,,0.3,16.9,26,0,121.451861,24.982528,5
新店,新北市,55,細懸浮微粒,普通,0.5,0.24,57,22,30,20,5,6.4,0.9,1.5,323,2025-04-21 13:00,,0.3,14,20,0,121.537778,24.977222,4
萬里,新北市,78,細懸浮微粒,普通,0,0.29,73,59,42,19,2,3,0.1,4.2,31,2025-04-21 13:00,,0.3,22.4,44,0,121.689881,25.179667,3
汐止,新北市,66,細懸浮微粒,普通,0.8,0.36,72,34,28,21,12,14.3,1.5,1.4,262,2025-04-21 13:00,,0.3,17.8,26,0,121.64081,25.06624,2
基隆,基隆市,65,細懸浮微粒,普通,1.1,0.29,62,41,21,17,6,7.4,0.9,1.2,335,2025-04-21 13:00,,0.3,17.6,25,1,121.760056,25.129167,1
屏東(枋山),屏東縣,61,細懸浮微粒,普通,0.5,0.12,42,27,27,12,1,2.4,0.6,3.2,291,2025-04-21 12:00,,0.1,16.3,31,0,120.651472,22.260899,313
臺南（南化）,臺南市,54,細懸浮微粒,普通,0.1,0.18,45,18,22,17,1,1.9,0.4,2.7,47,2025-04-21 12:00,,0.1,13.7,20,0,120.44583156,23.04562013,312
新北（樹林）,新北市,47,,良好,0.4,0.28,39,14,31,23,10,14,3.3,0.4,355,2025-04-21 12:00,,0.3,11.7,23,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,46,,良好,0.3,0.26,28,14,18,10,4,8.7,4.3,0.3,329,2025-04-21 12:00,,0.2,11.5,21,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,65,懸浮微粒,普通,0.4,0.15,32,21,43,16,1,2.5,0.7,3.8,316,2025-04-21 12:00,,0.1,16.7,44,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,6,,良好,,,,6,,,,,,,,2025-04-21 12:00,,0.2,,,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,-1,,,,,,,,,,,,,,2025-04-21 12:00,,,,,,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,41,,良好,0.7,0.22,49,26,25,6,4,4.8,0.7,1.8,117,2025-04-21 12:00,,0.2,10.1,20,0,121.82463916,24.85366672,201
員林,彰化縣,87,細懸浮微粒,普通,1.2,0.24,48,16,42,24,4,6.2,1.9,3.1,236,2025-04-21 12:00,,0.3,25.8,39,1,120.5631893,23.9615945,139
大城,彰化縣,62,細懸浮微粒,普通,1.6,0.14,38,17,43,14,2,4.3,1.6,1.8,255,2025-04-21 12:00,,0.1,16.7,30,0,120.26964167,23.85493056,85
富貴角,新北市,101,細懸浮微粒,對敏感族群不健康,0.2,0.3,92,70,57,32,1,1.3,0,1.8,59,2025-04-21 12:00,,0.2,30.7,54,0,121.53656894,25.29681695,84
麥寮,雲林縣,58,細懸浮微粒,普通,1,0.14,36,25,24,12,0,2.2,1.3,2.7,249,2025-04-21 12:00,,0.1,15,24,0,120.251825,23.753506,83
關山,臺東縣,45,,良好,1.2,0.12,31,16,14,11,1,2.4,0.9,2.6,195,2025-04-21 12:00,,0.1,11.1,17,1,121.161933,23.045083,80
馬公,澎湖縣,42,,良好,0.3,0.12,23,22,17,7,1,3.4,1.6,2.6,253,2025-04-21 12:00,,0.1,10.5,18,0,119.566158,23.569031,78
金門,金門縣,66,細懸浮微粒,普通,1.4,0.27,30,31,24,24,13,17.7,3.8,1.6,314,2025-04-21 12:00,,0.2,18,20,1,118.312256,24.432133,77
馬祖,連江縣,137,細懸浮微粒,對敏感族群不健康,1.2,0.37,82,75,75,39,8,9.5,0.8,2.4,352,2025-04-21 12:00,,0.3,45,79,0,119.952724,26.153736,75
埔里,南投縣,67,細懸浮微粒,普通,0.8,0.2,33,13,15,19,2,3.2,1.1,2.1,294,2025-04-21 12:00,,0.2,18.2,25,0,120.967903,23.968842,72
復興,高雄市,66,細懸浮微粒,普通,,,,12,,,,,,0.9,236,2025-04-21 12:00,,0.2,18,30,0,120.312017,22.608711,71
永和,新北市,60,細懸浮微粒,普通,0.5,0.57,40,16,27,21,16,21.9,5,1.7,283,2025-04-21 12:00,,0.7,15.9,22,0,121.516306,25.017,70
竹山,南投縣,76,細懸浮微粒,普通,0.8,0.17,42,16,38,25,3,4.1,0.5,2.3,252,2025-04-21 12:00,,0.1,21.5,33,0,120.677306,23.756389,69
中壢,桃園市,61,細懸浮微粒,普通,0,0.81,18,5,35,23,25,56.1,30.6,0.9,116,2025-04-21 12:00,,1.1,16.1,28,0,121.221667,24.953278,68
三重,新北市,86,細懸浮微粒,普通,0.9,0.73,28,12,31,23,31,59.9,28.3,-,-,2025-04-21 12:00,,0.9,25.2,33,1,121.493806,25.072611,67
冬山,宜蘭縣,48,,良好,0.8,0.5,33,28,29,10,12,15.8,3.7,2.1,20,2025-04-21 12:00,,0.4,11.5,29,0,121.792928,24.632203,66
宜蘭,宜蘭縣,42,,良好,0.4,0.28,48,41,16,11,3,4.8,0.9,2.9,122,2025-04-21 12:00,,0.2,10.3,15,0,121.746394,24.747917,65
陽明,臺北市,39,,良好,1,0.27,41,31,27,16,3,4,0.6,1.7,190,2025-04-21 12:00,,0.2,9.6,18,0,121.529583,25.182722,64
花蓮,花蓮縣,37,,良好,0.4,0.2,43,33,18,11,2,3.2,1.2,2.3,106,2025-04-21 12:00,,0.2,9.2,19,0,121.599769,23.971306,63
臺東,臺東縣,33,,良好,0.7,0.19,34,24,23,6,2,3.4,0.9,2.1,111,2025-04-21 12:00,,0.1,8.2,20,0,121.15045,22.755358,62
恆春,屏東縣,46,,良好,1.6,0.18,47,33,29,13,1,2.8,0.8,3.2,151,2025-04-21 12:00,,0.1,11.4,23,1,120.788928,21.958069,61
潮州,屏東縣,93,細懸浮微粒,普通,1.2,0.32,68,25,55,33,5,5.4,0.3,2.5,279,2025-04-21 12:00,,0.2,28,46,0,120.561175,22.523108,60
屏東,屏東縣,89,細懸浮微粒,普通,0.8,0.26,57,23,45,22,4,4.9,0.7,2,279,2025-04-21 12:00,,0.2,26.2,48,0,120.488033,22.673081,59
小港,高雄市,69,細懸浮微粒,普通,1.2,0.17,25,14,31,13,13,19.4,6.4,3.9,269,2025-04-21 12:00,,0.2,19.2,31,0,120.337736,22.565833,58
前鎮,高雄市,61,細懸浮微粒,普通,1.8,0.18,29,17,31,14,8,11.5,3.4,2.1,334,2025-04-21 12:00,,0.2,16.3,32,1,120.30833356,22.6044507,57
前金,高雄市,67,細懸浮微粒,普通,0.5,0.2,41,18,42,18,7,9.8,2.6,2.3,1,2025-04-21 12:00,,0.2,18.5,36,0,120.28676111,22.63390278,56
左營,高雄市,72,細懸浮微粒,普通,0.9,0.14,,10,,,2,3.5,1.2,4,302,2025-04-21 12:00,,0.2,20.2,32,0,120.292917,22.674861,54
楠梓,高雄市,76,細懸浮微粒,普通,0.9,0.18,34,15,54,21,10,16.1,5.9,2.5,275,2025-04-21 12:00,,0.2,21.6,49,0,120.328289,22.733667,53
林園,高雄市,73,細懸浮微粒,普通,0.6,0.15,29,14,26,16,2,3.7,1.3,4.1,279,2025-04-21 12:00,,0.2,20.7,40,1,120.41175,22.4795,52
大寮,高雄市,89,細懸浮微粒,普通,1.3,0.3,66,22,57,27,7,9.1,1.2,1.4,338,2025-04-21 12:00,,0.2,26.5,48,0,120.425311,22.56413611,51
鳳山,高雄市,87,細懸浮微粒,普通,1.4,0.48,48,19,49,25,12,14.5,1.9,1.2,280,2025-04-21 12:00,,0.4,25.7,41,1,120.357422,22.628126,50
仁武,高雄市,69,細懸浮微粒,普通,,,,17,32,18,,,,3.3,282,2025-04-21 12:00,,0.3,19.2,35,0,120.332631,22.689056,49
橋頭,高雄市,80,細懸浮微粒,普通,1.5,0.17,39,17,32,23,6,8,1.4,3,267,2025-04-21 12:00,,0.2,23.1,35,1,120.305689,22.757506,48
美濃,高雄市,63,細懸浮微粒,普通,1.2,0.21,47,20,23,18,2,3.3,1,1.2,139,2025-04-21 12:00,,0.2,17,25,0,120.530542,22.883583,47
臺南,臺南市,65,細懸浮微粒,普通,0.3,0.2,39,21,32,17,4,5.8,1.3,2.6,225,2025-04-21 12:00,,0.1,17.7,30,0,120.21947897,22.98928311,46
安南,臺南市,64,細懸浮微粒,普通,0.9,0.18,38,16,31,12,2,3.8,1.3,2.8,242,2025-04-21 12:00,,0.2,17.2,29,0,120.2175,23.048197,45
善化,臺南市,82,細懸浮微粒,普通,0.5,0.22,38,13,42,27,11,15.8,4,1.5,2,2025-04-21 12:00,,0.1,24,34,0,120.29740529,23.11337642,44
新營,臺南市,76,細懸浮微粒,普通,0.7,0.21,39,17,31,15,4,5.3,0.7,1.5,219,2025-04-21 12:00,,0.2,21.5,31,0,120.31725,23.305633,43
嘉義,嘉義市,73,細懸浮微粒,普通,1.6,0.2,45,18,34,16,3,3.6,0.4,2.1,230,2025-04-21 12:00,,0.2,20.6,33,1,120.44125148,23.46477865,42
臺西,雲林縣,54,細懸浮微粒,普通,0.8,0.13,37,29,22,16,1,1.9,0.6,3.4,249,2025-04-21 12:00,,0.1,13.7,20,0,120.19933333,23.702175,41
朴子,嘉義縣,76,細懸浮微粒,普通,0.6,0.13,37,20,32,19,2,3.3,0.4,1.9,248,2025-04-21 12:00,,0.1,21.6,30,1,120.2478,23.46538,40
新港,嘉義縣,70,細懸浮微粒,普通,1.5,0.17,41,21,33,26,2,4,1.2,2.2,255,2025-04-21 12:00,,0.1,19.5,30,1,120.345531,23.554839,39
